
#OTU ID	NoVi2.DNA	NoVi2.RNA	NoVi1.DNA	NoVi1.RNA	NoVi5.DNA	NoVi4.RNA	NoVi3.DNA	NoVi4.DNA	NoVi5.RNA	NoVi3.RNA
19061922564a942770a235e79982bdf7	0.0	178.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
22e32134ab7b4cbb56eb758c9981d159	0.0	95.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
fe48a9a8e670bd10c2505c0c9d138061	0.0	49.0	0.0	0.0	0.0	0.0	12.0	31.0	0.0	0.0
0c442d5de690a3b8d760990d7e2ee273	0.0	34.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
5a02c9985adcd7543dff8c846cff62a5	0.0	32.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
d329ff7ff76454d2282c9f01c2798588	0.0	30.0	149.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
e83fa923d1e185d9c9de13ca3b37c8f2	0.0	30.0	0.0	0.0	0.0	0.0	0.0	2.0	21.0	0.0
57031d5cbd768559759a21b6d86cd477	0.0	29.0	9.0	0.0	97.0	0.0	42.0	0.0	0.0	13.0
0310f41e594c49368dde5c5993a7a5d0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
739bae25753a3de4c913153858a1ddfa	0.0	22.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
f9661b31af9bae475453b8806d0d3c7d	0.0	20.0	0.0	3.0	0.0	0.0	5.0	0.0	2.0	0.0
6fd48951d2e72286830c538ea14ddb6b	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b036712f89b550361b6b5a46c8873bde	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46a7fe8654eac5de06b4cd4cc57c72f1	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d403b04cebaa9fad1f2e6de5eb269b0b	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01b99cb344ed2530f7d80897ffe257a9	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8e7fe111e2b62dbc3743502e219a49b1	0.0	10.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0
66919209239c89723f05e8ddb69070bc	0.0	8.0	0.0	5.0	0.0	0.0	2.0	24.0	0.0	0.0
415533f2c60ea0c5ef2a292a3336ca9b	0.0	8.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0
2cec2792e54f61e12e1a0b2507826118	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f76313498ac17590469e7ec9b092b46	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0
f3ed29d9b4cd4e1ea7861fbe19314125	0.0	6.0	0.0	0.0	0.0	6.0	0.0	14.0	0.0	0.0
ed028d22164ae89854eb251bde2cdc8a	0.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
ba60495740575974b203299ca9b95f53	0.0	5.0	7.0	2.0	56.0	10.0	64.0	7.0	0.0	0.0
d7d67856b34698f8d9972b95ddee3134	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03498c9bf73d4266cd9e10c7c2046272	0.0	3.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
909755d7142ea53c7f61c97c3586f26c	0.0	3.0	41.0	0.0	0.0	0.0	17.0	0.0	3.0	0.0
5e08037833d2aee50924f037b6e56ab3	0.0	3.0	0.0	0.0	25.0	0.0	0.0	6.0	0.0	0.0
9e547cfda3a98b4cd5b43818fdd95183	0.0	2.0	3.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
8eb07752bbc1c95c6d357090830c729b	0.0	2.0	2.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
2f21f52f6d6cc53cc20a23361a34502c	0.0	2.0	7.0	3.0	23.0	11.0	29.0	0.0	0.0	17.0
50e96bbd1a8267119529843a1acb43a5	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
4a2e749125be634801ba510640e91e84	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f6d99682f3b96b631e1e42e7e36be6a	0.0	2.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0
41c7b90b86cc1e8b35137e6274b0872a	0.0	2.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b428acd97e6af974db1b053a2bc2b5c8	0.0	2.0	8.0	0.0	58.0	0.0	24.0	41.0	255.0	0.0
147f2c2c24c7e1b1c371d42a36816214	0.0	2.0	4.0	0.0	6.0	12.0	18.0	5.0	0.0	6.0
ae6ae1cd92de733a87fc4da5b99c617b	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
7effbd18d9a6fe0020360b53c48e130a	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
6c089116108c9edc4551f449c26d0c6e	0.0	1.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0
0852f68de90370d660b13f368fc52486	0.0	0.0	200.0	241.0	38.0	351.0	3.0	0.0	0.0	240.0
f8753b9f13abb306b57aedce2cf6e7d0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4062fd59bef622de8cc689baee4ffe7	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
057d01a1ed4623f52fb4764017d727b3	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e31b5affbe5e23b79a8619589f3b6620	0.0	0.0	64.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
7e598ad34909a3fb8ff1623f1ede11a6	0.0	0.0	60.0	0.0	0.0	23.0	0.0	0.0	39.0	0.0
66bba55a43e01d9f807137c1bfc100c4	0.0	0.0	58.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
7dc6da45d6df1b0fed4bb4dd493b8dac	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76e8305b47ef8b35c452b5490589fc95	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4fccea69a702bcb90cc0147c0fff2995	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d6b469f8cdcf73a08b73ffaff704cb0f	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
434f8394cb5cb1df3f42061c13e17f34	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
063fa4f5a6fa894f7f8243468324ac5e	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990c83d3b721c2fb03319551d808fc28	0.0	0.0	19.0	0.0	7.0	0.0	0.0	614.0	0.0	5.0
ee253a1e9bb414e7a42d5791441609b4	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6de4955c509e8f32f905760cad0beeae	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9e5b5da01d216b81df1e6019b056fbf	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
093bfa417265c08841d56c28b2bbbea2	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38ac782edd35a07b3a88e5193f6d9a0e	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d84a55ea5040b728a46924802178215	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
202fe66fd130b96a74f6bf78205a9eba	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
a049763053c277b16c2a318f41eb23b4	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
570cd8f3870759f47f65d44ea4cf634c	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39acc7037c2845228513c620c7feea1e	0.0	0.0	12.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
a67197f006fa41e105f400eebe30871a	0.0	0.0	11.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0
69cef8aff2cc70c51df166774c1446b3	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b65f8931698507015de2e1c5f0961cd3	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b8c11df16569ef731f945d5f12524ee9	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19eebb4310753252f0642bfc6e5b5512	0.0	0.0	7.0	0.0	60.0	36.0	0.0	4.0	0.0	489.0
d6f5dc9f71a337ee4e65f433a234709d	0.0	0.0	7.0	0.0	9.0	14.0	0.0	33.0	0.0	0.0
cb2fe0146e2fbcb101050edb996a0ee2	0.0	0.0	6.0	0.0	0.0	34.0	4.0	0.0	0.0	0.0
be21fe53c2c98f519b6fe157a100075c	0.0	0.0	5.0	6.0	0.0	17.0	0.0	0.0	0.0	0.0
781a02105e41617e7137815c190e0bd2	0.0	0.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0
9fb15a130731214be0e1de2eda5a78af	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
303da4cc2860cad121c30860efc698b3	0.0	0.0	2.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0
636c27859c1ac0a7994ca8ed145d03fe	0.0	0.0	2.0	0.0	6.0	8.0	0.0	0.0	0.0	0.0
21bc9a5af6203656e6d1066a13121fb0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
6986b1ecd761fe079af4beba379cb2e9	0.0	0.0	0.0	13.0	0.0	2.0	0.0	0.0	0.0	0.0
